;Device;October 5, 2024;October 6, 2024;October 7, 2024;October 8, 2024;October 9, 2024;October 10, 2024;October 11, 2024;October 12, 2024;October 13, 2024;October 14, 2024;October 15, 2024;October 16, 2024;October 17, 2024;October 18, 2024;October 19, 2024;October 20, 2024;October 21, 2024;October 22, 2024;October 23, 2024;October 24, 2024;October 25, 2024;October 26, 2024;October 27, 2024;October 28, 2024;October 29, 2024;October 30, 2024;October 31, 2024;November 1, 2024;Total Usage
Adobe Acrobat;;0s;3m 11s;0s;0s;57s;16s;0s;1m 1s;1m 59s;0s;0s;5s;29s;0s;0s;10s;1m 45s;53s;0s;53s;0s;40s;0s;0s;42s;0s;3s;0s;13m 9s
Airbnb;;0s;0s;0s;1m 35s;1m 34s;2m 41s;3s;0s;45s;0s;0s;0s;0s;3m 15s;7m 13s;30s;1m 48s;1m 24s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;20m 54s
Albert Heijn;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;4s;0s;3s;1m 39s;0s;0s;0s;0s;1m 47s
AliExpress;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;1s;0s;0s;0s;1s
Amazon Shopping;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;8s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;8s
ASML Marathon Eindhoven;;0s;0s;0s;0s;0s;0s;10m 6s;30s;10m 27s;0s;0s;23s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;21m 28s
Authenticator;;13s;12s;0s;23s;0s;4s;0s;4s;0s;0s;0s;0s;4s;0s;0s;0s;0s;0s;0s;4s;7s;0s;12s;0s;0s;4s;0s;0s;1m 31s
Authenticator;;0s;0s;0s;0s;3s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;3s
Bankieren;;0s;48s;0s;3m 25s;0s;16s;2m 7s;11s;0s;0s;25s;0s;0s;0s;3m 19s;1m 23s;44s;1m 16s;12s;4m 7s;3m 5s;2m 2s;33s;1m 15s;1m 3s;2m 7s;11s;0s;28m 37s
Bolt;;2s;0s;0s;0s;0s;1s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;3s
Buienalarm;;0s;0s;0s;0s;2s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;2s;0s;0s;0s;0s;4s
BuitenBeter;;4m 57s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;3m 25s;0s;0s;0s;0s;8m 22s
Calculator;;0s;0s;0s;0s;9s;8s;2m 58s;11s;8s;3s;0s;1m 39s;6s;0s;0s;24s;1m 28s;27s;0s;0s;0s;41s;51s;16s;0s;4m 47s;20s;0s;14m 43s
Calendar;;2m 11s;1m;39s;32s;41s;1s;1m 3s;10s;29s;5m 59s;6m 2s;2m 35s;56s;1m 10s;29s;1m 47s;12s;15s;1m 49s;3s;1m 7s;5m 12s;3m 56s;1m 48s;1m 10s;52s;19s;3s;42m 42s
Camera;;1m 6s;2m 10s;1m 58s;3m 1s;1m 1s;46s;14s;10m 41s;9m 22s;28s;2m 8s;15s;1m 12s;1m 26s;6m 49s;33m 57s;2m 25s;4m 32s;2m 14s;2m 7s;20s;2m 52s;3m 31s;1m 31s;2m 19s;40s;6m 41s;0s;1h 46m
Chrome;;2m 19s;24m 30s;8m;19m 54s;6m 34s;4m 56s;1m 45s;37m 5s;8m 37s;9m 3s;14m 57s;26m 26s;10m 3s;3m 58s;14m 53s;18m 23s;44m 5s;41m 30s;7m 41s;20m 21s;3m 17s;34m 39s;2m 43s;22m 10s;19m 7s;34m 45s;6m 22s;0s;7h 28m 18s
Clock;;18s;1m 55s;1m 45s;4m 20s;9m 45s;2m 14s;13s;57s;30s;42s;37s;45s;1m 21s;2m 33s;3s;13s;1m 38s;7s;0s;39s;32m 43s;43s;2m 31s;2m 28s;1m 14s;0s;47s;1m 2s;1h 12m 17s
Contacts;;47s;0s;0s;0s;0s;0s;0s;1m 39s;0s;0s;0s;0s;14s;7s;0s;0s;2s;0s;0s;0s;0s;0s;0s;0s;0s;0s;46s;0s;3m 38s
DigiD;;0s;0s;0s;0s;0s;0s;0s;0s;11s;0s;0s;0s;0s;0s;0s;0s;6s;14s;0s;0s;0s;33s;0s;6s;31s;0s;0s;0s;1m 43s
Digital Wellbeing;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;1s;0s;0s;0s;0s;0s;1s
Drive;;0s;0s;0s;0s;0s;0s;0s;37s;18s;0s;0s;0s;0s;0s;7s;0s;0s;41s;0s;12s;2s;0s;0s;11s;20s;6s;0s;0s;2m 37s
Duolingo;;3m 20s;3m 14s;11m 48s;6m 19s;1m 14s;1m 15s;11m 39s;6m 21s;2m 36s;12m 34s;2m 16s;1m 41s;2m 19s;2m 11s;24m 56s;5m 22s;4m 41s;1m 32s;2m 55s;3m 26s;1m 52s;3m 57s;15m 20s;12m 29s;9m 17s;3m 53s;2m 26s;0s;2h 41m 5s
eBay;;0s;2m 24s;0s;0s;0s;0s;0s;0s;0s;0s;0s;4s;0s;0s;0s;0s;0s;0s;0s;15s;0s;0s;0s;0s;0s;0s;0s;0s;2m 45s
Efteling;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;47s;0s;0s;0s;0s;0s;0s;47s
Etsy;;0s;6m 17s;25s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;1m 50s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;8m 33s
Etsy Seller;;0s;0s;25s;0s;1m 13s;0s;0s;0s;0s;0s;0s;31s;0s;49s;0s;0s;0s;0s;19s;3m 57s;7s;0s;0s;0s;3m 2s;0s;0s;0s;10m 26s
FedEx;;0s;0s;0s;0s;0s;0s;53s;16s;0s;0s;3m 50s;5m 35s;2m 8s;0s;0s;0s;0s;1m 39s;0s;20s;0s;0s;0s;0s;0s;0s;0s;0s;14m 45s
Files by Google;;0s;0s;0s;0s;0s;0s;0s;3s;5s;5s;3s;0s;0s;0s;0s;0s;0s;6s;2m 25s;0s;0s;0s;0s;0s;0s;0s;0s;0s;2m 50s
Flitsmeister;;0s;12m 10s;0s;0s;20m 30s;20m 32s;12m 48s;0s;1h 34m 59s;2m 57s;19m 49s;10m 46s;13m 40s;1h 1m 12s;0s;0s;0s;0s;1h 11m;22m 31s;0s;7m 8s;0s;0s;20m 56s;0s;0s;11m 39s;6h 42m 43s
FoodCity;;0s;0s;11s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;8s;0s;0s;0s;0s;20s
Gmail;;2s;0s;7m 31s;2m 20s;1m 27s;0s;3m 53s;2m 43s;0s;1m 33s;30s;46s;37s;5m 12s;29s;5m 11s;3m 48s;33s;1m 29s;9m 57s;35s;46s;12s;2m 52s;2m 26s;32s;2m 23s;24s;58m 22s
